"character" "dialogue"
"1" "None" "Marvel Opening Credits"
"2" "None" "Radio transmission sound"
"3" "None" "The Marvel Studios Logo plays as usual but this time, at the end of that logo, the background changes from red to black and the I and O in Studios become 10 in red. The logo now reads Marvel Stud10s. Throughout the logo, an Asgardian is reporting a distress signal."
"4" "Asgardian PA" "This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!"
"5" "None" "Inside the ship, Ebony Maw walks among the bodies of dead Asgardians. Heimdall, badly wounded, reaches out as if he would stop Maw as he passes, but lacks the strength. Maw steps over them with no mind as he speaks, as if they were scattered pieces of dirty clothing on a bedroom floor."
"6" "Ebony Maw" "Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos."
"7" "None" "Loki stands with the Black Order. He watches Thanos, shrouded in darkness and light, a vague silhouette."
"8" "Thanos" "I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say...i am."
"9" "None" "Thanos holds up his hand to reveal the Infinity Gauntlet, which already hosts the violet Power Stone."
"10" "Thor" "You talk too much."
"11" "Thanos" "The Tesseract, or your brother's head. I assume you have a preference."
"12" "None" "The Black Order heft their weapons or smirks, as appropriate."
"13" "Loki" "Oh, I do. Kill away!"
"14" "None" "Thanos' face expresses surprise briefly before presses the gauntlet to Thor's left temple. The Power Stone glows brightly. Thor screams hoarsely."
"15" "Loki" "ALL RIGHT, STOP!"
"16" "Thor" "We don't have the Tesseract. It was destroyed on Asgard."
"17" "None" "Loki glances at Thor like he knows something he doesn't. He lifts his right hand into the air and the Tesseract reveals itself."
"18" "Thor" "You really are the worst brother."
"19" "Loki" "I assure you, brother... the sun will shine on us again."
"20" "Thanos" "Your optimism is misplaced, Asgardian."
"21" "Loki" "Well, for one thing, I'm not Asgardian. And for another... we have a Hulk."
"22" "None" "Thanos looks to his right just as a green and very angry mass slams into him. Loki dives for Thor, pulling both of them out of the way as the Tesseract skitters across the floor, and the Hulk charges Thanos. The Hulk pummels Thanos, forcing him backwards and shoving him into the wall of the ship. Maw stops Cull Obsidian from interfering."
"23" "Ebony Maw" "Let him have his fun."
"24" "None" "Thanos pries the Hulk's hands away; an expression of surprise and fear crosses his green face. After several hard blows, Thanos picks up the Hulk and slams him to the deck, defeated. Thor slams a metal bar across Thanos' back to no avail, is kicked across the deck by Thanos and is promptly bound in metal debris by Ebony Maw to keep him from interfering further."
"25" "Heimdall" "Allfathers… let the dark magic flow through me one last... time."
"26" "None" "Heimdall summons the Bifrost, which carries the Hulk away; he meets Thor's eye."
"27" "Thanos" "That was a mistake."
"28" "None" "Thanos borrows Corvus's glaive and stabs Heimdall through the heart, twisting the blade in the wound."
"29" "Thor" "NO!!!  You're going to die for that!"
"30" "Ebony Maw" "Shh."
"31" "Ebony Maw" "My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp."
"32" "None" "Thanos crushes the Tesseract, revealing the blue Space Stone. He blows some of the fractals away, fingering the Stone between his thumb and index, before placing it on the gauntlet, and is momentarily rocked by the surge of energy that pulses as the stone seats in its setting."
"33" "Thanos" "There are two more Stones on Earth. Find them, my children, and bring them to me on Titan."
"34" "Proxima Midnight" "Father, we will not fail you."
"35" "Loki" "If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena."
"36" "Thanos" "If you consider failure experience."
"37" "Loki" "I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity."
"38" "None" "Thor squints and notices a dagger materialize in Loki's hand. Loki braces himself, thrusts upward with lightning speed and attempts to stab Thanos, but is frozen in place by the Space Stone's power before the point could strike home."
"39" "Thanos" "Undying? You should choose your words more carefully."
"40" "None" "Thanos twists the dagger out of Loki's hand with his right hand, then takes hold of Loki's neck with the gauntlet and lifts him to eye level. Loki struggles, kicking, as his throat is squeezed. He makes eye contact with Thor before he increases his force on Loki's neck."
"41" "Loki" "You will... never be... a god."
"42" "Thor" "NO!"
"43" "Thanos" "No resurrections this time."
"44" "None" "Thanos raises the gauntlet, sends violet Power fire through the remains of the Statesman, and uses the Space Stone to teleport away with the Black Order."
"45" "Thor" "No… Loki…."
"46" "None" "Thor is released from his bonds. He crawls over to Loki's body -- which, unlike in The Dark World, has not returned to its Jotun form -- and lays his head down on Loki's chest, shedding tears for all that he has lost. The ship explodes."
"47" "None" "The Bifrost continues its journey, bringing the Hulk across space to Earth."
"48" "None" "Sanctum Sanctorum, New York City"
