"dialogue" "label"
"1" "This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!" "-1"
"2" "Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos." "-1"
"3" "I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say...i am." "-1"
"4" "You talk too much." "-1"
"5" "The Tesseract, or your brother's head. I assume you have a preference." "-1"
"6" "Oh, I do. Kill away!" "-1"
"7" "ALL RIGHT, STOP!" "-1"
"8" "We don't have the Tesseract. It was destroyed on Asgard." "-1"
"9" "You really are the worst brother." "-1"
"10" "I assure you, brother... the sun will shine on us again." "1"
"11" "Your optimism is misplaced, Asgardian." "-1"
"12" "Well, for one thing, I'm not Asgardian. And for another... we have a Hulk." "1"
"13" "Let him have his fun." "1"
"14" "Allfathers… let the dark magic flow through me one last... time." "-1"
"15" "That was a mistake." "-1"
"16" "NO!!!  You're going to die for that!" "-1"
"17" "Shh." "-1"
"18" "My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp." "1"
"19" "There are two more Stones on Earth. Find them, my children, and bring them to me on Titan." "1"
"20" "Father, we will not fail you." "-1"
"21" "If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena." "1"
"22" "If you consider failure experience." "-1"
"23" "I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity." "1"
"24" "Undying? You should choose your words more carefully." "-1"
"25" "You will... never be... a god." "-1"
"26" "NO!" "1"
"27" "No resurrections this time." "-1"
"28" "No… Loki…." "-1"
"29" "Seriously? You don't have any money?" "-1"
"30" "Attachment to the material is detachment from the spiritual." "1"
"31" "I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye." "1"
"32" "Oh, wait, wait, wait, I think I have 200." "1"
"33" "Dollars?" "1"
"34" "Rupees." "1"
"35" "Which is?" "1"
"36" "Uh, buck and a half." "1"
"37" "What do you want?" "1"
"38" "I wouldn't say no to a tuna melt." "1"
"39" "Thanos is coming. He's coming..." "-1"
"40" "Who?" "1"
"41" "Slow down, slow down. I'm totally not kidding." "1"
"42" "You're totally rambling." "1"
"43" "No, I'm not." "1"
"44" "Lost me." "1"
"45" "Look, you know how you're having a dream, and in the dream you gotta pee?" "1"
"46" "Yeah." "1"
"47" "Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'" "1"
"48" "Right. And then you wake up, and in real life you actually have to pee." "1"
"49" "Yes." "1"
"50" "Yeah. Everybody has that." "1"
"51" "Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?" "1"
"52" "Right." "1"
"53" "Morgan! Morgan." "1"
"54" "So you woke up, and thought that we were..." "1"
"55" "Expecting." "1"
"56" "Yeah." "1"
"57" "Yes?" "1"
"58" "No." "1"
"59" "I had a dream about it. It was so real." "1"
"60" "If you wanted to have a kid, you wouldn't have done that." "1"
"61" "I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles." "1"
"62" "It's not helping your case, OK?" "1"
"63" "No, no, it's an attachment, it's not a-" "1"
"64" "You don't need that." "1"
"65" "I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know..." "1"
"66" "Shirts?" "1"
"67" "You know me so well. You finish all my sentences." "1"
"68" "You should have shirts in your closet." "1"
"69" "Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you." "1"
"70" "Yes." "1"
"71" "I will." "1"
"72" "Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way." "1"
"73" "I'm sorry, you giving out tickets or something?" "-1"
"74" "We need your help. Look, it's not overselling to say that the fate of the universe is at stake." "-1"
"75" "And who's we?" "1"
"76" "Hey, Tony." "1"
"77" "Bruce." "1"
"78" "Pepper." "1"
"79" "Hi." "1"
"80" "You okay?" "1"
"81" "From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence." "1"
"82" "Space. Reality. Power. Soul. Mind. And Time." "1"
"83" "Tell me his name again." "1"
"84" "Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him." "-1"
"85" "This is it... What's our timeline?" "1"
"86" "No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..." "-1"
"87" "He can destroy life on a scale hitherto undreamt of." "-1"
"88" "Did you seriously just say hitherto undreamt of?" "-1"
"89" "Are you seriously leaning on the Cauldron of the Cosmos?" "-1"
"90" "Is that what this is.... ?" "1"
"91" "I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?" "-1"
"92" "No can do." "1"
"93" "We swore an oath to protect the Time Stone. With our lives." "-1"
"94" "And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so...." "1"
"95" "Stark Raving Hazelnuts." "1"
"96" "It's not bad." "1"
"97" "A bit chalky." "1"
"98" "A Hunka-Hulka Burning Fudge is our favorite." "1"
"99" "That's a thing?" "1"
"100" "Whatever. Point is: things change." "1"
"101" "Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos." "1"
"102" "And still conversely, it may also be his best chance against us." "1"
"103" "Well, if we don't do our jobs." "-1"
"104" "What is your job exactly, besides making balloon animals?" "-1"
"105" "Protecting your reality, douchebag." "-1"
"106" "Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now." "1"
"107" "Yeah, that's the... thing." "-1"
"108" "What do you mean?" "-1"
"109" "Two weeks ago, Vision turned off his transponder. He's offline." "-1"
"110" "What? Tony, you lost another super bot?" "-1"
"111" "I didn't lose him. He's more than that. He's evolving." "1"
"112" "Who could find Vision, then?" "1"
"113" "Shit.  Probably Steve Rogers." "1"
"114" "Oh, great." "1"
"115" "Maybe. But..." "1"
"116" "Call him." "1"
"117" "It's not that easy. God, we haven't caught up in a spell, have we?" "1"
"118" "No." "1"
"119" "The Avengers broke up. We're toast." "-1"
"120" "Broke up? Like a band? Like The Beatles?" "1"
"121" "Cap and I fell out hard. We're not on speaking terms." "-1"
"122" "Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not." "-1"
"123" "Say, Doc, you wouldn't happen to be moving your hair, would you?" "1"
"124" "Not at the moment, no." "1"
"125" "You okay?" "1"
"126" "Help him! Wong, Doc." "1"
"127" "Go! Got it!" "1"
"128" "F.R.I.D.A.Y., what am I looking at?" "1"
"129" "Not sure, I'm working on it." "1"
"130" "Hey! You might wanna put that Time Stone in your back pocket, Doc!" "1"
"131" "Might wanna use it." "1"
"132" "Ned, hey. I need you to cause a distraction." "1"
"133" "Holy shit! We're all gonna die! There's a spaceship!" "-1"
"134" "What's the matter with you kids? You've never seen a spaceship before?" "1"
"135" "F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders." "1"
"136" "Will do." "1"
"137" "Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to-" "-1"
"138" "I'm sorry, Earth is closed today! You better pack it up and get outta here." "1"
"139" "Stonekeeper...  Does this chattering animal speak for you?" "-1"
"140" "Certainly not. I speak for myself.  But you’re trespassing in this city and on this planet." "-1"
"141" "It means get lost, Squidward!" "-1"
"142" "He exhausts me." "1"
"143" "nan" "1"
"144" "Bring me the Stone." "1"
"145" "nan" "1"
"146" "Banner, you want a piece?" "1"
"147" "No, not really, but when do I ever get what I want?" "-1"
"148" "That's right." "-1"
"149" "Been a while. Good to have you, buddy." "1"
"150" "I just... I need to concentrate here for one second. Come on, come on, man." "1"
"151" "Where's your guy?" "1"
"152" "I don't know. We've sorta been havin' a thing." "1"
"153" "There's no time for a thing." "1"
"154" "I know." "1"
"155" "That's the thing right there. Let's go." "1"
"156" "Dude, you're embarrassing me in front of the wizards." "1"
"157" "Tony, I'm sorry.  Either I can't or he won't--" "1"
